product_id,source_platform,source_store,name,description,category,brand,price,price_original,discount_pct,rating,review_count,in_stock,stock_qty,shop_country,days_since_publish,is_on_promo,price_segment
1,dummyjson,dummyjson,Essence Mascara Lash Princess,The Essence Mascara Lash Princess is a popular mascara known for its volumizing and lengthening effects. Achieve dramatic lashes with this long-lasting and cruelty-free formula.,beauty,Essence,9.99,11.16,10.483870967741934,2.56,3,True,99,unknown,,True,low
2,dummyjson,dummyjson,Eyeshadow Palette with Mirror,"The Eyeshadow Palette with Mirror offers a versatile range of eyeshadow shades for creating stunning eye looks. With a built-in mirror, it's convenient for on-the-go makeup application.",beauty,Glamour Beauty,19.99,24.43,18.174375767498983,2.86,3,True,34,unknown,,True,low
3,dummyjson,dummyjson,Powder Canister,"The Powder Canister is a finely milled setting powder designed to set makeup and control shine. With a lightweight and translucent formula, it provides a smooth and matte finish.",beauty,Velvet Touch,14.99,16.63,9.86169573060733,4.64,3,True,89,unknown,,True,low
4,dummyjson,dummyjson,Red Lipstick,"The Red Lipstick is a classic and bold choice for adding a pop of color to your lips. With a creamy and pigmented formula, it provides a vibrant and long-lasting finish.",beauty,Chic Cosmetics,12.99,14.79,12.170385395537519,4.36,3,True,91,unknown,,True,low
5,dummyjson,dummyjson,Red Nail Polish,"The Red Nail Polish offers a rich and glossy red hue for vibrant and polished nails. With a quick-drying formula, it provides a salon-quality finish at home.",beauty,Nail Couture,8.99,10.15,11.428571428571429,4.32,3,True,79,unknown,,True,low
6,dummyjson,dummyjson,Calvin Klein CK One,"CK One by Calvin Klein is a classic unisex fragrance, known for its fresh and clean scent. It's a versatile fragrance suitable for everyday wear.",fragrances,Calvin Klein,49.99,50.95,1.8842001962708552,4.37,3,True,29,unknown,,True,mid
7,dummyjson,dummyjson,Chanel Coco Noir Eau De,"Coco Noir by Chanel is an elegant and mysterious fragrance, featuring notes of grapefruit, rose, and sandalwood. Perfect for evening occasions.",fragrances,Chanel,129.99,155.7,16.512524084778406,4.26,3,True,58,unknown,,True,high
8,dummyjson,dummyjson,Dior J'adore,"J'adore by Dior is a luxurious and floral fragrance, known for its blend of ylang-ylang, rose, and jasmine. It embodies femininity and sophistication.",fragrances,Dior,89.99,105.52,14.717589082638364,3.8,3,True,98,unknown,,True,mid
9,dummyjson,dummyjson,Dolce Shine Eau de,"Dolce Shine by Dolce & Gabbana is a vibrant and fruity fragrance, featuring notes of mango, jasmine, and blonde woods. It's a joyful and youthful scent.",fragrances,Dolce & Gabbana,69.99,70.43,0.6247337782195256,3.96,3,True,4,unknown,,True,mid
10,dummyjson,dummyjson,Gucci Bloom Eau de,"Gucci Bloom by Gucci is a floral and captivating fragrance, with notes of tuberose, jasmine, and Rangoon creeper. It's a modern and romantic scent.",fragrances,Gucci,79.99,93.44,14.39426369863014,2.74,3,True,91,unknown,,True,mid
11,dummyjson,dummyjson,Annibale Colombo Bed,"The Annibale Colombo Bed is a luxurious and elegant bed frame, crafted with high-quality materials for a comfortable and stylish bedroom.",furniture,Annibale Colombo,1899.99,2078.08,8.569929935324911,4.77,3,True,88,unknown,,True,high
12,dummyjson,dummyjson,Annibale Colombo Sofa,"The Annibale Colombo Sofa is a sophisticated and comfortable seating option, featuring exquisite design and premium upholstery for your living room.",furniture,Annibale Colombo,2499.99,2920.55,14.400027392100817,3.92,3,True,60,unknown,,True,high
