price,discount_pct,stock_qty,days_since_publish,category_enc,brand_enc,source_store_enc,shop_country_enc,in_stock,is_on_promo,product_id,name,popularity_score
-0.13343028594045275,-0.6570383180440083,0.41004637244605185,-0.6149927302675309,81,25,5,1,1,0,6806088286410,Gymshark Ribbed T-Shirt - Black,5.087
-0.1081472584653523,-0.6570383180440083,0.6768269138160434,-0.6205135373850936,143,25,5,1,1,0,6806550544586,Gymshark Run Club Graphic Short Sleeve T-Shirt - Heavy Blue,5.031
-0.1030906529703322,-0.6570383180440083,-0.9111524991005729,-0.6021108469932178,80,25,5,1,0,0,6806561587402,Gymshark x Carlos Belcast Tank Baselayer -  Grey,5.024
-0.06769441450519155,-0.6570383180440083,-0.23784922802392758,-0.6205135373850936,142,25,5,1,1,0,6806562308298,Gymshark High Support V-Neck Sports Bra - GS Storm Blue,4.897
-0.05758120351515137,-0.6570383180440083,0.9690151257927009,-0.6205135373850936,134,25,5,1,1,0,6806558343370,Gymshark Legacy Leggings - Cool Brown,4.877
-0.09297744198029201,-0.6570383180440083,-0.9111524991005729,-0.46041013097577443,135,25,5,1,0,0,6806477406410,Gymshark Lifestyle Long Sleeve Top - GS Black,4.877
-0.12837368044543265,-0.6570383180440083,1.0833496435226972,-0.5689860042878415,79,25,5,1,1,0,6806499459274,"Gymshark Arrival 7"" Shorts - GS Impact Burgundy",4.799
-0.12331707495041257,0.9906631836931057,-0.9111524991005729,-0.3886396384474589,130,25,5,1,0,1,6806420783306,Gymshark Embroidered Logo Crop Top - Iron Blue,4.79
-0.10511329516834023,0.4414293497807344,2.5442907034059843,-0.3886396384474589,130,25,5,1,1,1,6806414098634,Gymshark Adapt Houndstooth Midi Top - Black/Chestnut Pink,4.751
-0.07275102000021165,-0.6570383180440083,-0.9111524991005729,-0.3886396384474589,138,25,5,1,0,0,6806429925578,Gymshark Lifting Essentials Hoodie - Cloud Pink,4.69
-0.11724914835638846,0.4414293497807344,0.8165691021527056,-0.07395363274638327,134,25,5,1,1,1,6806300688586,Gymshark Training Leggings 2.0 - Weighted Teal,4.658
-0.06769441450519155,-0.6570383180440083,0.6514192432093776,-0.5689860042878415,77,25,5,1,1,0,6806508798154,Gymshark Athletic Division Graphic Joggers - GS Black,4.629
-0.1030906529703322,-0.10780448413163692,-0.9111524991005729,-0.07395363274638327,81,25,5,1,0,1,6806467936458,Gymshark Power Washed T-Shirt - GS Medium Grey,4.628
-0.1081472584653523,-0.6570383180440083,0.04163514864939689,-0.6794021466390961,80,25,5,1,1,0,6806673457354,Gymshark Conditioning Club Washed Tank - Black/Dayglow Peach/Wash,4.616
-0.11927179055439649,2.63836468543022,0.57519623138938,-0.5027363188770887,1,25,5,1,1,1,6805506195658,Gymshark Sleek Backpack Roll Top - Black,4.608
-0.05758120351515137,-0.6570383180440083,0.32111952532272137,-0.6849229537566588,79,25,5,1,1,0,6806679257290,"Gymshark Sport Hybrid 6"" Shorts - Pebble Grey",4.596
-0.007015148564950442,-0.6570383180440083,0.7149384197260422,-0.6205135373850936,133,25,5,1,1,0,6806558539978,Gymshark Weekend Lifestyle Track Jacket - GS Black,4.596
-0.09803404747531211,-0.6570383180440083,1.3755378554993547,-0.6849229537566588,134,25,5,1,1,0,6806526165194,Gymshark Light Hold Leggings - GS Stealth Blue,4.578
-0.15517368956903915,0.9906631836931057,-0.9111524991005729,-0.46041013097577443,116,25,5,1,0,1,6806333489354,Gymshark Midi Socks 5pk - Burgundy Brown/Walnut Brown/Muted Pink/Chestnut Pink/Dusk Pink,4.574
-0.04241138703009109,-0.6570383180440083,-0.9111524991005729,-0.3886396384474589,138,25,5,1,0,0,6806419701962,Gymshark Embroidered Zip Up Hoodie - Cherry Purple,4.566
-0.11320386396037238,-0.6570383180440083,1.6042068909593474,-0.6849229537566588,142,25,5,1,1,0,6806788702410,Gymshark Volt Light Support Sports Bra - Sorbet Yellow/White,4.554
-0.09297744198029201,0.4414293497807344,-0.9111524991005729,-0.07395363274638327,138,25,5,1,0,1,6806376382666,Gymshark Power Washed Oversized Hoodie - Reset Pink/Acid Wash,4.553
-0.05758120351515137,-0.6570383180440083,-0.3267760751472581,-0.6849229537566588,134,25,5,1,1,0,6806776742090,Gymshark Vital Seamless 2.0 Leggings - Chilled Blue,4.552
-0.09803404747531211,-0.6570383180440083,-0.009180192563934838,-0.557944390052716,140,25,5,1,1,0,6806532325578,Gymshark Halter Neck Cami with Shelf - Reset Pink,4.545
-0.05252459802013128,-0.6570383180440083,0.1305619957727274,-0.6205135373850936,137,25,5,1,1,0,6806544941258,Gymshark Power Washed Joggers -  Cherry Purple/Acid Wash,4.541
-0.10106801077232418,0.4414293497807344,-0.9111524991005729,-0.46777120713252474,81,25,5,1,0,1,6806431858890,Gymshark Tactical T-Shirt - Black,4.537
-0.05758120351515137,-0.6570383180440083,-0.2505530633272605,-0.6849229537566588,78,25,5,1,1,0,6806648586442,Gymshark Train Zip Through Jacket - Stealth Blue,4.525
